rank,pattern,pattern_length,count,support,interpretation
1,L2-01-01→L2-01-08,2,68,68.0%,L2-01-01→L2-01-08
2,L2-03-01→L2-04-01,2,67,67.0%,L2-03-01→L2-04-01
3,L2-03-01→L2-04-03,2,36,36.0%,L2-03-01→L2-04-03
4,L2-03-05→L2-04-07,2,35,35.0%,L2-03-05→L2-04-07
5,L2-04-07→L2-03-01,2,33,33.0%,L2-04-07→L2-03-01
6,L2-02-02→L2-03-01,2,31,31.0%,L2-02-02→L2-03-01
7,L2-09-01→L2-03-01,2,30,30.0%,L2-09-01→L2-03-01
8,L2-03-02→L2-04-07,2,30,30.0%,L2-03-02→L2-04-07
9,L2-01-07→L2-01-08,2,28,28.0%,L2-01-07→L2-01-08
10,L2-01-08→L2-09-01,2,27,27.0%,L2-01-08→L2-09-01
11,L2-01-08→L2-02-02,2,26,26.0%,L2-01-08→L2-02-02
12,L2-02-02→L2-03-01→L2-04-01,3,25,25.0%,L2-02-02→L2-03-01→L2-04-01
13,L2-04-01→L2-03-02,2,25,25.0%,L2-04-01→L2-03-02
14,L2-04-01→L2-03-03,2,25,25.0%,L2-04-01→L2-03-03
15,L2-03-01→L2-04-01→L2-03-02,3,24,24.0%,L2-03-01→L2-04-01→L2-03-02
16,L2-03-01→L2-04-02,2,24,24.0%,L2-03-01→L2-04-02
17,L2-03-01→L2-04-01→L2-03-03,3,21,21.0%,L2-03-01→L2-04-01→L2-03-03
18,L2-03-01→L2-04-03→L2-03-02,3,20,20.0%,L2-03-01→L2-04-03→L2-03-02
19,L2-04-03→L2-03-02,2,20,20.0%,L2-04-03→L2-03-02
20,L2-01-08→L2-03-01,2,20,20.0%,L2-01-08→L2-03-01
21,L2-01-01→L2-01-08→L2-09-01,3,19,19.0%,L2-01-01→L2-01-08→L2-09-01
22,L2-01-01→L2-01-08→L2-03-01,3,18,18.0%,L2-01-01→L2-01-08→L2-03-01
23,L2-03-06→L2-04-07,2,18,18.0%,L2-03-06→L2-04-07
24,L2-04-02→L2-03-02,2,18,18.0%,L2-04-02→L2-03-02
25,L2-03-01→L2-04-02→L2-03-02,3,17,17.0%,L2-03-01→L2-04-02→L2-03-02
26,L2-01-08→L2-09-03,2,17,17.0%,L2-01-08→L2-09-03
27,L2-03-05→L2-04-07→L2-03-01,3,16,16.0%,L2-03-05→L2-04-07→L2-03-01
28,L2-09-01→L2-03-01→L2-04-01,3,15,15.0%,L2-09-01→L2-03-01→L2-04-01
29,L2-09-01→L2-02-02,2,15,15.0%,L2-09-01→L2-02-02
30,L2-04-07→L2-02-02,2,15,15.0%,L2-04-07→L2-02-02
