source_major_code,source_major_name,total,Q1-优先实施,Q1_pct,Q2-重点攻关,Q2_pct,Q3-可填充,Q3_pct,Q4-暂缓,Q4_pct,priority_index
45,燃气生产和供应业,17,11,64.7%,2,11.8%,1,5.9%,3,17.6%,0.706
25,石油、煤炭及其他燃料加工业,23,13,56.5%,6,26.1%,0,0.0%,4,17.4%,0.696
7,石油和天然气开采业,23,11,47.8%,10,43.5%,1,4.3%,1,4.3%,0.696
6,煤炭开采和洗选业,18,10,55.6%,5,27.8%,2,11.1%,1,5.6%,0.694
40,仪器仪表制造业,21,14,66.7%,1,4.8%,3,14.3%,3,14.3%,0.69
11,开采专业及辅助性活动,20,12,60.0%,3,15.0%,1,5.0%,4,20.0%,0.675
46,水的生产和供应业,15,8,53.3%,4,26.7%,1,6.7%,2,13.3%,0.667
32,有色金属冶炼和压延加工业,29,15,51.7%,7,24.1%,2,6.9%,5,17.2%,0.638
38,电气机械和器材制造业,33,13,39.4%,13,39.4%,1,3.0%,6,18.2%,0.591
9,有色金属矿采选业,21,9,42.9%,6,28.6%,3,14.3%,3,14.3%,0.571
10,非金属矿采选业,21,10,47.6%,4,19.0%,1,4.8%,6,28.6%,0.571
30,非金属矿物制品业,32,14,43.8%,8,25.0%,2,6.2%,8,25.0%,0.562
26,化学原料和化学制品制造业,27,12,44.4%,6,22.2%,2,7.4%,7,25.9%,0.556
15,酒、饮料和精制茶制造业,27,12,44.4%,6,22.2%,3,11.1%,6,22.2%,0.556
31,黑色金属冶炼和压延加工业,25,10,40.0%,6,24.0%,8,32.0%,1,4.0%,0.52
33,金属制品业,26,8,30.8%,9,34.6%,4,15.4%,5,19.2%,0.481
43,金属制品、机械和设备修理业,17,6,35.3%,4,23.5%,5,29.4%,2,11.8%,0.471
36,汽车制造业,34,8,23.5%,15,44.1%,5,14.7%,6,17.6%,0.456
8,黑色金属矿采选业,20,8,40.0%,2,10.0%,4,20.0%,6,30.0%,0.45
44,电力、热力生产和供应业,24,9,37.5%,2,8.3%,10,41.7%,3,12.5%,0.417
13,农副食品加工业,27,9,33.3%,4,14.8%,12,44.4%,2,7.4%,0.407
42,废弃资源综合利用业,16,4,25.0%,5,31.2%,5,31.2%,2,12.5%,0.406
35,专用设备制造业,32,7,21.9%,11,34.4%,6,18.8%,8,25.0%,0.391
27,医药制造业,29,7,24.1%,8,27.6%,6,20.7%,8,27.6%,0.379
14,食品制造业,31,6,19.4%,11,35.5%,6,19.4%,8,25.8%,0.371
29,橡胶和塑料制品业,24,6,25.0%,5,20.8%,6,25.0%,7,29.2%,0.354
39,计算机、通信和其他电子设备制造业,26,5,19.2%,8,30.8%,6,23.1%,7,26.9%,0.346
34,通用设备制造业,31,9,29.0%,3,9.7%,10,32.3%,9,29.0%,0.339
28,化学纤维制造业,28,7,25.0%,2,7.1%,7,25.0%,12,42.9%,0.286
41,其他制造业,19,4,21.1%,1,5.3%,10,52.6%,4,21.1%,0.237
37,铁路、船舶、航空航天和其他运输设备制造业,30,4,13.3%,6,20.0%,8,26.7%,12,40.0%,0.233
19,皮革、毛皮、羽毛及其制品和制鞋业,29,5,17.2%,3,10.3%,13,44.8%,8,27.6%,0.224
22,造纸和纸制品业,18,3,16.7%,2,11.1%,6,33.3%,7,38.9%,0.222
16,烟草制品业,15,3,20.0%,0,0.0%,8,53.3%,4,26.7%,0.2
24,文教、工美、体育和娱乐用品制造业,33,4,12.1%,4,12.1%,9,27.3%,16,48.5%,0.182
21,家具制造业,20,1,5.0%,5,25.0%,7,35.0%,7,35.0%,0.175
20,木材加工和木、竹、藤、棕、草制品业,24,2,8.3%,4,16.7%,5,20.8%,13,54.2%,0.167
18,纺织服装、服饰业,16,2,12.5%,1,6.2%,6,37.5%,7,43.8%,0.156
17,纺织业,29,2,6.9%,5,17.2%,12,41.4%,10,34.5%,0.155
23,印刷和记录媒介复制业,17,1,5.9%,2,11.8%,9,52.9%,5,29.4%,0.118
12,其他采矿业,6,0,0.0%,0,0.0%,4,66.7%,2,33.3%,0.0
