rank,source_major_code,source_major_name,total_scenes,q1_count,q1_ratio,avg_value_score,avg_difficulty_score,priority_index,recommendation
1,45,燃气生产和供应业,17,11,64.7%,4.1,1.26,210.53,强烈推荐
2,40,仪器仪表制造业,21,14,66.7%,3.95,1.31,201.12,强烈推荐
3,11,开采专业及辅助性活动,20,12,60.0%,4.07,1.36,179.56,强烈推荐
4,25,石油、煤炭及其他燃料加工业,23,13,56.5%,4.2,1.33,178.42,强烈推荐
5,46,水的生产和供应业,15,8,53.3%,4.18,1.25,178.24,强烈推荐
6,6,煤炭开采和洗选业,18,10,55.6%,4.15,1.49,154.86,强烈推荐
7,32,有色金属冶炼和压延加工业,29,15,51.7%,4.18,1.49,145.04,强烈推荐
8,7,石油和天然气开采业,23,11,47.8%,4.19,1.51,132.64,强烈推荐
9,10,非金属矿采选业,21,10,47.6%,4.03,1.45,132.3,强烈推荐
10,44,电力、热力生产和供应业,24,9,37.5%,3.89,1.11,131.42,强烈推荐
11,9,有色金属矿采选业,21,9,42.9%,4.21,1.44,125.42,强烈推荐
12,26,化学原料和化学制品制造业,27,12,44.4%,4.06,1.51,119.38,强烈推荐
13,15,酒、饮料和精制茶制造业,27,12,44.4%,3.84,1.43,119.23,强烈推荐
14,31,黑色金属冶炼和压延加工业,25,10,40.0%,3.91,1.36,115.0,强烈推荐
15,30,非金属矿物制品业,32,14,43.8%,4.06,1.59,111.84,强烈推荐
16,8,黑色金属矿采选业,20,8,40.0%,3.9,1.49,104.7,强烈推荐
17,13,农副食品加工业,27,9,33.3%,3.85,1.31,97.87,强烈推荐
18,43,金属制品、机械和设备修理业,17,6,35.3%,3.86,1.41,96.64,强烈推荐
19,38,电气机械和器材制造业,33,13,39.4%,4.1,1.77,91.27,强烈推荐
20,33,金属制品业,26,8,30.8%,3.94,1.75,69.34,强烈推荐
21,34,通用设备制造业,31,9,29.0%,3.66,1.6,66.34,推荐
22,27,医药制造业,29,7,24.1%,3.91,1.5,62.82,推荐
23,42,废弃资源综合利用业,16,4,25.0%,3.92,1.56,62.82,推荐
24,28,化学纤维制造业,28,7,25.0%,3.61,1.54,58.6,推荐
25,36,汽车制造业,34,8,23.5%,4.0,1.73,54.34,推荐
26,29,橡胶和塑料制品业,24,6,25.0%,3.75,1.74,53.88,推荐
27,35,专用设备制造业,32,7,21.9%,3.9,1.71,49.95,推荐
28,41,其他制造业,19,4,21.1%,3.42,1.49,48.43,推荐
29,16,烟草制品业,15,3,20.0%,3.38,1.4,48.29,推荐
30,14,食品制造业,31,6,19.4%,3.84,1.72,43.31,推荐
31,39,计算机、通信和其他电子设备制造业,26,5,19.2%,3.74,1.72,41.75,推荐
32,22,造纸和纸制品业,18,3,16.7%,3.61,1.54,39.15,推荐
33,19,皮革、毛皮、羽毛及其制品和制鞋业,29,5,17.2%,3.55,1.56,39.14,推荐
34,37,铁路、船舶、航空航天和其他运输设备制造业,30,4,13.3%,3.6,1.69,28.33,推荐
35,18,纺织服装、服饰业,16,2,12.5%,3.58,1.62,27.62,推荐
36,24,文教、工美、体育和娱乐用品制造业,33,4,12.1%,3.43,1.7,24.41,推荐
37,20,木材加工和木、竹、藤、棕、草制品业,24,2,8.3%,3.57,1.78,16.65,推荐
38,17,纺织业,29,2,6.9%,3.54,1.67,14.63,推荐
39,23,印刷和记录媒介复制业,17,1,5.9%,3.39,1.51,13.25,推荐
40,21,家具制造业,20,1,5.0%,3.62,1.84,9.84,推荐
41,12,其他采矿业,6,0,0.0%,3.06,1.25,0.0,暂缓
